,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
54,Byatarayanapura,13.06207355,77.5963916436534,Hyderabadi Bawarchi,13.063128471374512,77.59198760986328,Indian Restaurant
55,Byatarayanapura,13.06207355,77.5963916436534,Nandhana Palace,13.059548,77.59264,Andhra Restaurant
56,C.V.Raman Nagar,12.9856478,77.6649767,Pizza Hut,12.985679077433726,77.6681333388367,Pizza Place
57,C.V.Raman Nagar,12.9856478,77.6649767,New Tandoor,12.9852881643172,77.66764356860676,Indian Restaurant
58,C.V.Raman Nagar,12.9856478,77.6649767,Cafe Coffee Day,12.985948692414725,77.66879202999158,Café
59,C.V.Raman Nagar,12.9856478,77.6649767,DRDO Complex Fountain Square,12.9851641685921,77.66326407884289,Park
60,C.V.Raman Nagar,12.9856478,77.6649767,M. K. Retail,12.985437854522452,77.66776963520354,Shop & Service
61,C.V.Raman Nagar,12.9856478,77.6649767,Reliance Fresh,12.985337281283451,77.66751820371375,Department Store
62,C.V.Raman Nagar,12.9856478,77.6649767,Mast Kalandar,12.985933518020392,77.66878761521157,Indian Restaurant
63,C.V.Raman Nagar,12.9856478,77.6649767,Pizza Hut Delivery (PHD),12.985541170238982,77.66831787871432,Pizza Place
64,C.V.Raman Nagar,12.9856478,77.6649767,Andhra Mess,12.981548942817017,77.66609361401404,Indian Restaurant
65,CMP Centre & School,12.95825135,77.6091222008911,Football Ground @ Corps of Military Police Center & School,12.957950936016779,77.60920286178589,Soccer Field
66,CMP Centre & School,12.95825135,77.6091222008911,Hercules Sports International,12.956688242473383,77.6057694402546,Sporting Goods Shop
67,CMP Centre & School,12.95825135,77.6091222008911,Cafe Y,12.958139137197428,77.60512590408325,Café
68,CMP Centre & School,12.95825135,77.6091222008911,Confident Propus Hotel,12.955997806382184,77.60562320125247,Hotel
69,Doddanekkundi,12.9763947,77.6941175,X-Torque,12.977570175403066,77.69348269553484,Motorcycle Shop
70,Doddanekkundi,12.9763947,77.6941175,Jalsa,12.97768337190332,77.6954755254431,Indian Restaurant
71,Doddanekkundi,12.9763947,77.6941175,Kabab Magic,12.978704486487107,77.6955324411392,Fried Chicken Joint
72,Doddanekkundi,12.9763947,77.6941175,Flechazo,12.974379037496897,77.69740013340697,Mediterranean Restaurant
73,Doddanekkundi,12.9763947,77.6941175,Subway,12.980264900489397,77.69409454746737,Sandwich Place
74,Doddanekkundi,12.9763947,77.6941175,Cafe Coffee Day,12.979549808570274,77.69434613422327,Coffee Shop
75,Doddanekkundi,12.9763947,77.6941175,Lumiere,12.977280073519045,77.695229478726,Restaurant
76,Doddanekkundi,12.9763947,77.6941175,CineMAX,12.979686530427296,77.69391005015251,Multiplex
77,Doddanekkundi,12.9763947,77.6941175,"cinemax, soul space arena",12.979033141440048,77.69329505689967,Movie Theater
78,Doddanekkundi,12.9763947,77.6941175,Sarovar Portico,12.978899,77.69456,Hotel
79,Doddanekkundi,12.9763947,77.6941175,Shopper Stop,12.979537530090955,77.69418400060113,Clothing Store
80,Doddanekkundi,12.9763947,77.6941175,SBX Sports & Music Cafe,12.979570877721429,77.69453015980629,Sports Bar
81,Doddanekkundi,12.9763947,77.6941175,Callista Bar & Kitchen,12.980595589219849,77.69348810593283,Food
82,Doddanekkundi,12.9763947,77.6941175,Hind Ka Chulha,12.980291349966294,77.69347396437736,Indian Restaurant
83,Domlur,12.9624669,77.6381958,Lavonne,12.963908917512304,77.63857909555004,Café
84,Domlur,12.9624669,77.6381958,Smoke House Deli,12.965584187974008,77.64149811290692,Deli / Bodega
85,Domlur,12.9624669,77.6381958,Barbeque Nation,12.96268432799919,77.64159912496677,BBQ Joint
86,Domlur,12.9624669,77.6381958,Drops Total Spirits,12.964526940755547,77.64163609332793,Liquor Store
87,Domlur,12.9624669,77.6381958,Domino's Pizza,12.961,77.639,Pizza Place
88,Domlur,12.9624669,77.6381958,Mainland China,12.962457669794661,77.64172707439545,Chinese Restaurant
89,Domlur,12.9624669,77.6381958,Harry's Singapore,12.964480895955553,77.6416910954984,Sports Bar
90,Domlur,12.9624669,77.6381958,Tipsy Bull,12.964824110364718,77.64178306379425,Pub
91,Domlur,12.9624669,77.6381958,Cafe 42,12.963698354237229,77.6420391954426,Café
92,Domlur,12.9624669,77.6381958,Sree Nandhini Palace,12.961989653930361,77.64181260219313,Indian Restaurant
93,Domlur,12.9624669,77.6381958,Spaghetti Kitchen,12.96453930395614,77.64165710460685,Italian Restaurant
94,Domlur,12.9624669,77.6381958,Rajdhani,12.963833882354622,77.641642801897,Rajasthani Restaurant
95,Domlur,12.9624669,77.6381958,Namdhari's Fresh,12.966155476607463,77.6375836931685,Food & Drink Shop
96,Domlur,12.9624669,77.6381958,Nandhini Paradise,12.965095323722327,77.6385246453569,Indian Restaurant
97,Domlur,12.9624669,77.6381958,Vietnamese Kitchen,12.966451631457387,77.63733788165581,Vietnamese Restaurant
98,Domlur,12.9624669,77.6381958,Kerala Pavilion,12.960353645511368,77.63720743244619,Indian Restaurant
99,Domlur,12.9624669,77.6381958,Subway,12.963811997701667,77.64066031212336,Sandwich Place
100,Domlur,12.9624669,77.6381958,Srinidhi Sagar,12.95934816148329,77.63838706241823,Indian Restaurant
101,Domlur,12.9624669,77.6381958,Troika,12.96513995350749,77.64174100622184,Lounge
102,Dr. Ambedkar Veedhi,12.9765523,77.5887165,Vidhana Soudha,12.979027085191566,77.59188123080901,Capitol Building
103,Dr. Ambedkar Veedhi,12.9765523,77.5887165,Atria Hotel,12.980226955229458,77.58606746792793,Hotel
104,Dr. Ambedkar Veedhi,12.9765523,77.5887165,1498 AD,12.980157506859067,77.58619004073732,Indian Restaurant
105,Dr. Ambedkar Veedhi,12.9765523,77.5887165,Chai shop,12.980189463427589,77.58616205974369,Coffee Shop
106,EPIP,12.9776727,77.7222000289312,The Egg Factory,12.97718423555726,77.72484142097025,Breakfast Spot
107,EPIP,12.9776727,77.7222000289312,Cold Stone Creamery,12.976622,77.726133,Ice Cream Shop
108,EPIP,12.9776727,77.7222000289312,Suryawanshi's,12.977170471311776,77.7249117483268,Maharashtrian Restaurant
109,EPIP,12.9776727,77.7222000289312,Galito's,12.978874,77.722368,Fried Chicken Joint
110,EPIP,12.9776727,77.7222000289312,Mast Kalandar,12.977205846626251,77.72486777937026,Indian Restaurant
111,EPIP,12.9776727,77.7222000289312,Accenture B6 Tower B Cafeteria,12.974474401320922,77.72061425705759,Cafeteria
112,EPIP,12.9776727,77.7222000289312,Ginger Hotel,12.977064467431234,77.71854556667886,Hotel
113,EPIP,12.9776727,77.7222000289312,Addict - Juice Bars,12.979341539058968,77.72610300306073,Salad Place
114,EPIP,12.9776727,77.7222000289312,Cloves,12.976389765148095,77.72644394473909,Indian Restaurant
115,Hoodi,12.9919033,77.7162015,Srinidhi Sagar,12.991637676178463,77.72047995386384,Indian Restaurant
116,Hoodi,12.9919033,77.7162015,Furniture Quotient,12.992188766138465,77.71705369346506,Furniture / Home Store
117,Hoodi,12.9919033,77.7162015,Kamat Yatrinivas,12.989624169497196,77.71307381402724,Indian Restaurant
118,Hoodi,12.9919033,77.7162015,Bhakti Locator,12.995834008829698,77.71419525146484,Yoga Studio
119,Horamavu,13.0273312,77.6601508,Shangai Kitchen,13.025882304224602,77.66011118888855,Chinese Restaurant
120,Horamavu,13.0273312,77.6601508,the junction,13.025172,77.660095,Chinese Restaurant
121,Horamavu,13.0273312,77.6601508,Altis Arena - Indoor badminton courts,13.029882430801115,77.66133423029841,Athletics & Sports
122,Horamavu,13.0273312,77.6601508,The Other Place,13.024687283467483,77.65869343876255,Indian Restaurant
123,Horamavu,13.0273312,77.6601508,Favorite Shop,13.022921061237568,77.65937573309684,Clothing Store
124,Indiranagar Bangalore,12.9732913,77.6404672,Vero Moda,12.972807530900655,77.64122460428416,Boutique
125,Indiranagar Bangalore,12.9732913,77.6404672,Sri Udupi Park,12.973616953966802,77.64110378070436,Udupi Restaurant
126,Indiranagar Bangalore,12.9732913,77.6404672,Krispy Kreme Doughnuts,12.970094327976001,77.64067091504293,Bakery
127,Indiranagar Bangalore,12.9732913,77.6404672,Smoor Chocolates by Bliss,12.969912874955153,77.6412832983829,Chocolate Shop
128,Indiranagar Bangalore,12.9732913,77.6404672,Mamagoto,12.970113448717763,77.63917316666122,Asian Restaurant
129,Indiranagar Bangalore,12.9732913,77.6404672,The Black Rabbit,12.969891020052852,77.64125114874344,Pub
130,Indiranagar Bangalore,12.9732913,77.6404672,Corner House,12.96997259210254,77.6374526658063,Ice Cream Shop
131,Indiranagar Bangalore,12.9732913,77.6404672,eclipse lounge,12.973694984076802,77.64400073279776,Lounge
132,Indiranagar Bangalore,12.9732913,77.6404672,Phobidden Fruit,12.9699592658647,77.63961973169945,Vietnamese Restaurant
133,Indiranagar Bangalore,12.9732913,77.6404672,Bite Me Cupcakes,12.97071129751499,77.64131050643094,Cupcake Shop
134,Indiranagar Bangalore,12.9732913,77.6404672,LOFT 38,12.971166660789011,77.64120278594287,Lounge
135,Indiranagar Bangalore,12.9732913,77.6404672,Chianti Ristorante & Wine Bar,12.970166816699923,77.6403456189779,Italian Restaurant
136,Indiranagar Bangalore,12.9732913,77.6404672,The Humming Tree - Music Venue and Bar,12.970124587896086,77.639161198021,Music Venue
137,Indiranagar Bangalore,12.9732913,77.6404672,Stoner,12.976362702040921,77.64118809071226,Dessert Shop
138,Indiranagar Bangalore,12.9732913,77.6404672,Creme & Crust,12.974955917759535,77.64108735574453,Café
139,Indiranagar Bangalore,12.9732913,77.6404672,Cream Centre,12.971448298683102,77.64118124658971,Indian Restaurant
140,Indiranagar Bangalore,12.9732913,77.6404672,Mother Cluckers,12.9701761233072,77.64024335293145,Restaurant
141,Indiranagar Bangalore,12.9732913,77.6404672,Take 5,12.975553933859773,77.64118445763896,Pub
142,Indiranagar Bangalore,12.9732913,77.6404672,Bliss Chocolate Lounge,12.97056979924098,77.64204864494035,Cupcake Shop
143,Indiranagar Bangalore,12.9732913,77.6404672,Red Fork,12.970313547792484,77.64278880558163,Café
144,Indiranagar Bangalore,12.9732913,77.6404672,Namdhari's Fresh,12.970208211865616,77.6407850128964,Grocery Store
145,Indiranagar Bangalore,12.9732913,77.6404672,1131 Bar N Kitchen,12.969915566801303,77.64134445399704,Cocktail Bar
146,Indiranagar Bangalore,12.9732913,77.6404672,Loft38 Lounge,12.971279579190945,77.64117494877276,Cocktail Bar
147,Indiranagar Bangalore,12.9732913,77.6404672,Breadworks,12.97381455352682,77.6419867358635,Bakery
148,Indiranagar Bangalore,12.9732913,77.6404672,Doff Pub,12.977381959533586,77.64081675463058,Pub
149,Indiranagar Bangalore,12.9732913,77.6404672,The People's Art Cafe,12.973840262650604,77.64218288702607,Café
150,Indiranagar Bangalore,12.9732913,77.6404672,Daddy's Deli,12.970328188310825,77.64279601240476,Deli / Bodega
151,Indiranagar Bangalore,12.9732913,77.6404672,Bricklane Grill,12.96991956114483,77.64109337508981,Restaurant
152,Indiranagar Bangalore,12.9732913,77.6404672,Vapour - Pub and Brewery,12.969400042480276,77.64126770694673,Brewery
153,Indiranagar Bangalore,12.9732913,77.6404672,Roadhouse,12.97673103134292,77.64090115857617,Gastropub
154,Indiranagar Bangalore,12.9732913,77.6404672,Jimi's Beer Cafe,12.970072650700706,77.6384866075003,Pub
155,Indiranagar Bangalore,12.9732913,77.6404672,Kim Lee,12.973632563930007,77.6359129577451,Chinese Restaurant
156,Indiranagar Bangalore,12.9732913,77.6404672,B Flat,12.968858716822131,77.64110987804845,Lounge
157,Indiranagar Bangalore,12.9732913,77.6404672,Mama Mia Gelato,12.973924511642698,77.64319346979285,Ice Cream Shop
158,Indiranagar Bangalore,12.9732913,77.6404672,Hangover,12.970077919399797,77.63839880639964,Lounge
159,Indiranagar Bangalore,12.9732913,77.6404672,The Only Place,12.973845184145466,77.64455249123337,Steakhouse
160,Indiranagar Bangalore,12.9732913,77.6404672,High Note Bar and Dining,12.968883137056034,77.64116267019021,Diner
161,Indiranagar Bangalore,12.9732913,77.6404672,Chili's Grill & Bar,12.969236716608249,77.64141442037109,Tex-Mex Restaurant
162,Indiranagar Bangalore,12.9732913,77.6404672,Esplanade,12.969199004595144,77.64147271369525,Indian Restaurant
163,Indiranagar Bangalore,12.9732913,77.6404672,Snap Fitness,12.970213836075644,77.64340305932429,Gym
164,Indiranagar Bangalore,12.9732913,77.6404672,Terrazzo,12.969337035463994,77.64140372132545,Italian Restaurant
165,Jakkur,13.0784743,77.6068938,Axis Bank ATM,13.0757,77.60354,ATM
166,Kadugodi,12.9985767,77.7609716,Kadugodi BBMP Park,12.997758871602223,77.76061105002826,Park
167,Kadugodi,12.9985767,77.7609716,Whitefield Railway Station,12.99653363074443,77.76148269315856,Train Station
168,Kadugodi,12.9985767,77.7609716,L.J.Iyangar Bakery,12.99679946899414,77.76252746582031,Bakery
169,Kadugodi,12.9985767,77.7609716,Whitefield Railway Colony Ground,12.99630029045061,77.76166707832583,Playground
170,Kadugodi,12.9985767,77.7609716,White Field railway station,12.996363342784337,77.75987908799556,Platform
171,Kadugodi,12.9985767,77.7609716,Zabardast Biryani Corner,12.99671459197998,77.76294708251953,Indian Restaurant
172,Kadugodi,12.9985767,77.7609716,BMTC Bus Station - KADUGODI,12.995591084297036,77.7583872114651,Bus Station
173,Kothanur,13.0613601,77.6493895,Hill Station Cafe,13.064940320283243,77.64663224036087,Coffee Shop
174,Kothanur,13.0613601,77.6493895,Domino's Pizza,13.064,77.65,Pizza Place
175,Kothanur,13.0613601,77.6493895,Subway,13.064679586912991,77.65179078541631,Sandwich Place
176,Kothanur,13.0613601,77.6493895,Uttam Sagar Gardenia,13.059518,77.64852,Restaurant
177,Kothanur,13.0613601,77.6493895,Just Bake,13.063885640328602,77.65104532241821,Bakery
178,Kothanur,13.0613601,77.6493895,Table King,13.063723,77.651434,Mediterranean Restaurant
179,Kothanur,13.0613601,77.6493895,The King's Table,13.063918,77.65157,Italian Restaurant
180,Kothanur,13.0613601,77.6493895,Koel's Pizza,13.064777,77.651808,Pizza Place
181,Kothanur,13.0613601,77.6493895,Cubo Fitness,13.064922915694616,77.65194118022917,Gym / Fitness Center
182,Kothanur,13.0613601,77.6493895,Lulu Value Mart,13.065009765240276,77.6518923723231,Convenience Store
183,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,McDonald's,12.999499007840486,77.67549792128145,Fast Food Restaurant
184,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,Axis Bank ATM,13.00043,77.67662,ATM
185,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,MMA Kabab Centre,12.999456304538116,77.6736831665039,Indian Restaurant
186,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,Pushpanjali Theater,12.998015206328951,77.67524409731054,Movie Theater
187,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,Om Shakthi Enterprises,12.998127985212577,77.67223228927318,Furniture / Home Store
188,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,Krishnarajapuram (KR Puram) Railway Station,13.000318739422447,77.67582783428021,Train Station
189,Kundalahalli,12.9684441,77.7187843,"Lemon Tree Hotel, Whitefield, Bengaluru",12.972390382950863,77.71787537210056,Hotel
190,Kundalahalli,12.9684441,77.7187843,Chef Bakers,12.967194002666256,77.7165953394621,Bakery
191,Kundalahalli,12.9684441,77.7187843,Kesar,12.96481983728762,77.71740609461524,Dessert Shop
192,Kundalahalli,12.9684441,77.7187843,Taco Bell,12.965906068310083,77.71824440908144,Fast Food Restaurant
193,Kundalahalli,12.9684441,77.7187843,McDonald's,12.967156485714897,77.71677173355455,Fast Food Restaurant
194,Kundalahalli,12.9684441,77.7187843,SBX Sports Bar,12.965790795560954,77.71809498546533,Sports Bar
195,Lingarajapuram,13.0117678,77.6278288,Giselle,13.014234,77.628815,Café
196,Lingarajapuram,13.0117678,77.6278288,The Garden Store,13.015009,77.62971600000003,Garden Center
197,Lingarajapuram,13.0117678,77.6278288,Smally's RestoCafe,13.015349548869937,77.63011723874631,Burger Joint
198,Lingarajapuram,13.0117678,77.6278288,Honest Bakery,13.015368408506554,77.63049203730365,Bakery
199,Lingarajapuram,13.0117678,77.6278288,Mahadii's,13.015408,77.63045,Andhra Restaurant
200,Mahadevapura,12.9934976,77.6924156,VR Bengaluru,12.99609462496371,77.69539314772638,Shopping Mall
201,Mahadevapura,12.9934976,77.6924156,PVR IMAX VR Bangalore,12.996194303689908,77.69536252762013,Movie Theater
202,Mahadevapura,12.9934976,77.6924156,Toscano,12.995941913361872,77.69579541534833,Italian Restaurant
203,Mahadevapura,12.9934976,77.6924156,The Irish House,12.996162369127479,77.69503542489836,Bar
204,Mahadevapura,12.9934976,77.6924156,Starbucks,12.996121967316679,77.69537688400081,Coffee Shop
205,Mahadevapura,12.9934976,77.6924156,Starbucks,12.995783380106202,77.69626737133763,Coffee Shop
206,Mahadevapura,12.9934976,77.6924156,Lifestyle,12.995831,77.696292,Clothing Store
207,Mahadevapura,12.9934976,77.6924156,PVR  PREMIER VR,12.996122304682844,77.69542358608469,Multiplex
208,Mahadevapura,12.9934976,77.6924156,Nasi and Mee,12.996285816143244,77.69520138856373,Noodle House
209,Mahadevapura,12.9934976,77.6924156,Happy Land Supermarket,12.991557970815457,77.69092450574217,Convenience Store
210,Mahadevapura,12.9934976,77.6924156,Café Noir,12.99612615793144,77.69525986335425,French Restaurant
211,Mahadevapura,12.9934976,77.6924156,"PVR Gold, VR Bengaluru",12.993301,77.695419,Movie Theater
212,Mahadevapura,12.9934976,77.6924156,Pheonix Market City - Barley,12.996178390355706,77.69368082579086,American Restaurant
